date,participant,trial,nTarg,targOnset,targFlash,targRT,targCor,targContrast,FA_rt,,
2021-11-02,mjd01,0,0,-1,0,-1,1,0.07,
2021-11-02,mjd01,1,1,3.076358,1,3.487079,0,0.075,
2021-11-02,mjd01,2,1,2.965194,1,0,0,0.08000001,3.620558,
2021-11-02,mjd01,4,1,3.435505,1,0,0,0.08500001,
