date,participant,trial,nTarg,targOnset,targFlash,targRT,targCor,targGap,FA_rt,isPrac,isStationary
2021-11-12,davidarvo,8,8,1.45269,1,1.921837,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,8,8,2.294018,2,2.764086,0,0.02000001,NaN,1,1
2021-11-12,davidarvo,8,8,3.163893,2,3.704005,0,0.03000001,NaN,1,1
2021-11-12,davidarvo,8,8,4.051445,2,4.768229,1,0.02000001,NaN,1,1
2021-11-12,davidarvo,8,8,4.959797,2,5.496299,0,0.03000001,NaN,1,1
2021-11-12,davidarvo,8,8,5.85857,1,6.595769,1,0.03000001,NaN,1,1
2021-11-12,davidarvo,8,8,6.695698,1,7.218913,1,0.03000001,NaN,1,1
2021-11-12,davidarvo,8,8,8.136762,2,8.671943,1,0.02000001,NaN,1,1
2021-11-12,davidarvo,9,7,1.754475,2,2.377032,1,0.02000001,NaN,1,1
2021-11-12,davidarvo,9,7,2.631632,2,3.311747,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,9,7,3.531744,2,4.297379,0,0.02000001,NaN,1,1
2021-11-12,davidarvo,9,7,4.408661,1,4.971592,1,0.02000001,NaN,1,1
2021-11-12,davidarvo,9,7,5.248249,2,5.940485,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,9,7,6.128979,1,6.693216,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,9,7,8.074188,2,8.761586,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,1.53934,1,2.068115,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,2.383224,2,2.95795,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,10,8,3.26184,2,3.931315,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,4.150989,1,4.729364,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,4.984361,2,5.707143,1,0.005000007,NaN,1,1
2021-11-12,davidarvo,10,8,5.883993,2,6.418891,0,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,7.103489,1,7.683898,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,10,8,7.937044,1,8.337698,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,11,8,1.787204,1,2.339089,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,11,8,2.630105,2,3.182378,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,11,8,3.505782,2,4.039249,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,11,8,4.404867,2,4.840587,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,11,8,5.290848,1,5.939391,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,11,8,6.129688,1,6.729545,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,11,8,7.039831,2,7.629294,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,11,8,7.927009,2,8.370382,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,12,7,1.621772,1,2.164902,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,12,7,2.464982,2,2.973322,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,12,7,3.340486,2,3.849282,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,12,7,4.217408,2,4.834979,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,12,7,5.105802,2,5.593934,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,12,7,5.98857,2,6.552564,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,12,7,6.88329,1,7.506837,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,13,8,1.773037,2,2.343973,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,13,8,2.642402,1,3.287328,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,13,8,3.47583,2,3.985399,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,13,8,4.353234,2,4.873558,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,13,8,5.247841,2,0,0,0.01500001,NaN,1,1
2021-11-12,davidarvo,13,8,6.086329,2,6.164702,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,13,8,6.985989,2,7.531021,0,0.01500001,6.928187,1,1
2021-11-12,davidarvo,13,8,7.853518,1,8.341132,1,0.01500001,6.928187,1,1
2021-11-12,davidarvo,14,7,1.456252,1,1.937159,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,14,7,2.297251,1,2.759006,1,0.01500001,NaN,1,1
2021-11-12,davidarvo,14,7,3.140968,2,3.796069,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,14,7,4.031055,1,4.484423,1,0.01250001,NaN,1,1
2021-11-12,davidarvo,14,7,4.888873,2,5.48058,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,14,7,5.784016,2,6.392169,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,14,7,6.763144,1,7.326393,1,0.01000001,NaN,1,1
2021-11-12,davidarvo,15,8,1.630847,1,2.167349,1,0.01000001,NaN,1,1
